Gene,Ensembl ID,Gene Description,Synonym,OMIM ID,Functio l Summary from Literature,Ciliary Localization,Reference,Protein complexes,Gene annotation
SEPTIN9,ENSG00000184640; ENSG00000282302,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],PNUTL4; SEPTD1; MSF1; AF17Q25; KIAA0991; SEPT9; MSF,604061,"Septins are either enriched at the apical cell cortex including the ciliary bases (septin-2, -4, -6, and -7), or show axonemal staining (septin-2, -7, -9 and -11) or specifically localize to ciliary sub-compartments (septin-8 and -9)(24317785).","basal bodiy, cilia",2.4317785E7,NA,NA
SFI1,ENSG00000198089,SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064],PPP1R139; KIAA0542; PISD,612765,"Saccharomyces cerevisiae Sfi1 protein ,  med Sfr1鈥揝fr13 in Tetrahyme , Nine of the Sfr proteins localize in unique polarized patterns surrounding the basal body (23426847).",basal body,2.3426847E7,NA,NA
SGO1,ENSG00000129810,shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088],NY-BR-85; SGOL1,609168,SGO-1 likely participates in constraining TAC-1 to the basal body by influencing the function of the transition zone 鈥榗iliary gate鈥,"basal body , transition zone, cilia",3.7296204E7,NA,NA
SGTB,ENSG00000197860,small glutamine rich tetratricopeptide repeat co-chaperone beta [Source:HGNC Symbol;Acc:HGNC:23567],SGT2; FLJ39002,620526,SGTB has localized in primary cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SH3D21,ENSG00000214193,SH3 domain containing 21 [Source:HGNC Symbol;Acc:HGNC:26236],FLJ22938; C1ORF113,NA,SH3D21 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SH3PXD2A,ENSG00000107957,SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664],KIAA0418; FISH; SH3MD1,619455,"SH3PXD2A has localized in ciliary tip, primary cilia.",cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SHTN1,ENSG00000187164,shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319],SHOOTIN1; KIAA1598; SHOOTIN-1,611171,SHTN1 has localized in primary cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SKA1,ENSG00000262634; ENSG00000154839,spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109],MGC10200; C18ORF24,616673,SKA might function during cilium shortening to track the axonemal tip(26585297).,cilia,2.6585297E7,NA,NA
SKP1,ENSG00000113558,S-phase ki se associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899],P19A; SKP1A; TCEB1L; EMC19; MGC34403; OCP2; OCP-II,601434,SKP1 has localized in primary cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SLAIN2,ENSG00000109171,SLAIN motif family member 2 [Source:HGNC Symbol;Acc:HGNC:29282],FLJ21611; KIAA1458,610492,SLAIN2 localized to centrosome(21399614).,basal body,2.1399614E7,NA,NA
SLC12A2,ENSG00000064651,solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911],NKCC1; PPP1R141; BSC-2; CCC1; BSC2,600840,"SLC12A2 has localized in basal body, transition zone.","basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
SLC12A4,ENSG00000124067,solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913],KCC1,604119,SLC12A4 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SLC1A5,ENSG00000105281,solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943],AAAT; ASCT2; M7V1; RDRC,109190,SLC1A5 has localized in basal body.,basal body,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SLC22A14,ENSG00000144671,solute carrier family 22 member 14 [Source:HGNC Symbol;Acc:HGNC:8495],ORCTL4; OCTL2,604048,SLC22A14 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SLC24A4,ENSG00000140090,solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978],NCKX4,609840,"ANXA1, ANXA2, ANXA5, S100A5, PMCA1, and NCKX4 (also known as SLC24A4)in the cilia of mouse OSNs (24748648).",cilia,2.4748648E7,NA,NA
SLC26A3,ENSG00000091138,solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018],DRA; CLD,126650,"Cl- is required for the entry of HCO3- that is necessary for sperm capacitation, implicating the involvement of SLC26A3 in transporting HCO3-, with CFTR providing the recycling pathway for Cl- (18784352).",flagella,1.8784352E7,NA,NA
SLC2A2,ENSG00000163581,solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006],GLUT2; GLUT-2,138160,SLC2A2 localized to flagella (25613900),flagella,2.56139E7,NA,NA
SLC2A5,ENSG00000142583,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010],GLUT5,138230,SLC2A5 localized to flagella (25613900),flagella,2.56139E7,NA,NA
SLC47A2,ENSG00000180638,solute carrier family 47 member 2 [Source:HGNC Symbol;Acc:HGNC:26439],MATE2; MATE2-K; FLJ31196,609833,A multidrug-and-toxin extrusion transporter MATE2 (SLC47A2) was found as a brain-specific central gene in the ciliary module and confirmed the localization of MATE2 in cilia by immunofluorescence staining using MDCK cells as a model(22558177).,cilia,2.2558177E7,NA,NA
SLC6A14,ENSG00000268104,solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047],NA,300444,SLC6A14 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SLC8A3,ENSG00000100678,solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070],NCX3,607991,SLC8A3 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SLC9A3R1-AS1,ENSG00000266036,SLC9A3R1 antisense R  1 [Source:HGNC Symbol;Acc:HGNC:55322],NA,NA,SLC9A3R1 has localized in basal body.,basal body,https://www.proteinatlas.org/,NA,NA
SLC9B1,ENSG00000164037,solute carrier family 9 member B1 [Source:HGNC Symbol;Acc:HGNC:24244],NHA1; NHEDC1,611527,"NHA2 is specifically localized in the principal piece of sperm tail, which is similar to NHA1 expression pattern (27010853).",flagella,2.7010853E7,NA,NA
SLC9B2,ENSG00000164038,solute carrier family 9 member B2 [Source:HGNC Symbol;Acc:HGNC:25143],NHA2; FLJ23984; NHEDC2,611789,"NHA2 is specifically localized in the principal piece of sperm tail, which is similar to NHA1 expression pattern (27010853).",flagella,2.7010853E7,NA,NA
SLC9C1,ENSG00000172139; ENSG00000285044,solute carrier family 9 member C1 [Source:HGNC Symbol;Acc:HGNC:31401],NHE; SLC9A10,612738,Indirect immunofluorescence microscopy of mouse caudal epididymal spermatozoa demonstrated that the NHE was localized to the principle piece of the sperm flagellum (14634667).,flagella,1.4634667E7,NA,NA
SLCO6A1,ENSG00000205359,solute carrier organic anion transporter family member 6A1 [Source:HGNC Symbol;Acc:HGNC:23613],MGC26949; OATP6A1; OATPY; CT48,613365,"As the wing structure is seen in the mouse but not human CatSper , the association of SLCO6C1 with CatSper channel complex might be a species-specific molecular mechanism such as linking Ca2+ homeostasis to ATP production (35715406).",flagella,3.5715406E7,NA,NA
SMAD4,ENSG00000141646,SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770],DPC4; MADH4,600993,"SMAD4 has localized in ciliary tip,basal body.","cilia ,basal body",https://doi.org/10.1101/2024.10.20.619273,NA,TGF BMP signaling; Transcription factors
SMAD6,ENSG00000137834,SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772],MADH7; HST17432; MADH6,602931,SMAD6 has localized in basal body.,"cilia,basal body",https://doi.org/10.1101/2024.10.20.619273,NA,TGF BMP signaling
SMAD7,ENSG00000101665,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773],MADH7; MADH8,602932,SMAD7 localizing to the basal body,basal body,https://doi.org/10.1101/2024.10.20.619273,NA,TGF BMP signaling
SMC1A,ENSG00000072501,structural mainte nce of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111],DXS423E; SMC1L1; KIAA0178; SB1.8; SMCB,300040,"SMC1 is a centrosomal protein, suggesting possible involvement of SMC1 in centrosome/basal body-related functions, such as organization of dy mic arrays of microtubules and ciliary formation (18515072, 16043481).",basal body,1.8515072E7,NA,NA
SMC3,ENSG00000108055,structural mainte nce of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468],CSPG6; BAM; SMC3L1; BAMACAN; HCAP,606062,SMC1 and SMC3 to primary cilia in the reti  as well as in cultured mammalian cells demonstrates that these proteins are also associated with ciliary microtubules (16043481).,cilia,1.6043481E7,NA,NA
SMG6,ENSG00000070366,SMG6 nonsense mediated mR  decay factor [Source:HGNC Symbol;Acc:HGNC:17809],C17ORF31; KIAA0732; EST1A; SMG-6,610963,"SMG6 has localized in basal body, transition zone.","basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
SMYD2,ENSG00000143499,SET and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20982],KMT3C; ZMYND14; HSKM-B,610663,Depletion or inhibition of CDK4/6 and SMYD2 resulted in increased cilia assembly by affecting microtubule stability and the expression of IFT20(33127671).,basal body,3.3127671E7,NA,NA
S P23,ENSG00000092531,sy ptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131],S P23B; S P23A; HST17016,602534,S P23 has localized in primary cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SNRNP200,ENSG00000144028,small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859],KIAA0788; ASCC3L1; HELIC2; U5-200KD; BRR2; RP33,601664,SNRNP200 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,RNA processing
SNTB2,ENSG00000168807; ENSG00000260873,syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169],SNT3; EST25263; SNTL; D16S2531E; SNT2B2,600027,SNTB2 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SNTN,ENSG00000188817,"sentan, cilia apical structure protein [Source:HGNC Symbol;Acc:HGNC:33706]",S100AL; FLJ44379,617832,SNTN was localized at the tips of multiple cilia(26724905).,cilia,2.6724905E7,NA,NA
SORD,ENSG00000140263,sorbitol dehydroge se [Source:HGNC Symbol;Acc:HGNC:11184],NA,182500,SORD has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPACA7,ENSG00000153498; ENSG00000275865,sperm acrosome associated 7 [Source:HGNC Symbol;Acc:HGNC:29575],C13ORF28,NA,SPACA7 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPACA9,ENSG00000165698,sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367],C9ORF9; MAST,618552,SPACA9 is a polyspecific microtubule inner proteinscapable of binding both microtubule types. SPACA9 forms intralume l striations in the B tubule of respiratory doublet microtubules and noncontinuous spirals in sperm singlet microtubules(36191189).,cilia,3.6191189E7,NA,NA
SPAG8,ENSG00000137098,sperm associated antigen 8 [Source:HGNC Symbol;Acc:HGNC:14105],HSD-1; SPAG3; CT142; HSMP-1; BS-84,605731,SPAG8 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SPATA20,ENSG00000006282,spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125],FLJ21347; TISP78; SSP411,613939,SPATA20 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPATA31F1,ENSG00000205108,SPATA31 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:41911],C9ORF144B; FAM205A,NA,FAM205A has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPG11,ENSG00000104133,"SPG11 vesicle trafficking associated, spatacsin [Source:HGNC Symbol;Acc:HGNC:11226]",ALS5; KIAA1840; FLJ21439,610844,"Six of the iNPH-associated proteins examined (Cwh43, Rxfp2, Ak9, HAVCR1/Kim1, spatacsin, and myo7A) localized to ependymal motile cilia in vivo or in cultured mouse ependymal cells (38100419).",cilia,3.8100419E7,NA,NA
SPHK1,ENSG00000176170,sphingosine ki se 1 [Source:HGNC Symbol;Acc:HGNC:11240],SPHK,603730,SPHK1 localized at cilia,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SPICE1,ENSG00000163611,spindle and centriole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:25083],SPICE; CCDC52,613447,"SPICE1 has localized in basal body, transition zone.","basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
SPMAP2,ENSG00000105549,sperm microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13706],THEG1; THEG; CT56,609503,THEG has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPMIP10,ENSG00000196900,sperm microtubule inner protein 10 [Source:HGNC Symbol;Acc:HGNC:33767],FLJ27505; C5ORF48; TEX43; MGC163367; TSEG7; MGC163369,NA,TEX43 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPMIP2,ENSG00000164123,sperm microtubule inner protein 2 [Source:HGNC Symbol;Acc:HGNC:26342],FLJ25371; C4ORF45,NA,C4orf45 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPMIP4,ENSG00000153790,sperm microtubule inner protein 4 [Source:HGNC Symbol;Acc:HGNC:21722],C7ORF31,616071,"CCDC113, CCDC96, C4orf47, CCDC38, C7orf31, CCDC146, CCDC81 and CCDC116 as centrosome-associated proteins(25074808).",basal body,2.5074808E7,NA,NA
SPMIP6 ,ENSG00000164972,sperm microtubule inner protein 6 [Source:HGNC Symbol;Acc:HGNC:19919],"BA573M23.4, C9ORF24, CBE1, MGC32921, MGC33614, NYD-SP22, SMRP1",619502,C9orf24 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPMIP7,ENSG00000164500,sperm microtubule inner protein 7 [Source:HGNC Symbol;Acc:HGNC:22564],C7ORF72; SPATA48,NA,SPATA48 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPMIP9,ENSG00000172073,sperm microtubule inner protein 9 [Source:HGNC Symbol;Acc:HGNC:26341],C2ORF51; TEX37; FLJ25369; TSC21,619676,TEX37 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SPNS2,ENSG00000183018,"SPNS lysolipid transporter 2, sphingosine-1-phosphate [Source:HGNC Symbol;Acc:HGNC:26992]",SLC63A2,612584,"In COPD and in response to cigarette smoke exposure, there is a possible disruption of epithelial/macrophage cross talk via Spns2-mediated S1P sig ling (29112690).",cilia,2.911269E7,NA,NA
SPTAN1,ENSG00000197694,"spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]",NA,182810,"Strong SPTAN1 expression was observed around the rootlets of stereocilia, but not in the stereocilia (34708331).",cilia,3.4708331E7,NA,NA
SPZ1,ENSG00000164299,spermatogenic leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:30721],NYD-TSP1; PPP1R148; FLJ25709,618068,SPZ1 localized to flagella (25613900),flagella,2.56139E7,NA,NA
SRA1,ENSG00000213523,steroid receptor R  activator 1 [Source:HGNC Symbol;Acc:HGNC:11281],SRA; STRAA1,603819,SRA1 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SRGAP1,ENSG00000196935,SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382],ARHGAP13; KIAA1304,606523,SRGAP1 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SRGAP2,ENSG00000266028,SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751],SRGAP2A; KIAA0456; ARHGAP34; FNBP2,606524,SRGAP2 has localized in basal body.,basal body,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SRGAP2B,ENSG00000196369,SLIT-ROBO Rho GTPase activating protein 2B [Source:HGNC Symbol;Acc:HGNC:35237],SRGAP2P2,614703,SRGAP2B has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SRGAP2C,ENSG00000171943,SLIT-ROBO Rho GTPase activating protein 2C [Source:HGNC Symbol;Acc:HGNC:30584],SRGAP2P1,614704,"SRGAP2C has localized in basal body, transition zone.","basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
SRPK2,ENSG00000135250,SRSF protein ki se 2 [Source:HGNC Symbol;Acc:HGNC:11306],SFRSK2,602980,SRPK2 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
SSBP1,ENSG00000106028; ENSG00000262771,single stranded D  binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317],SSBP; MTSSB,600439,SSBP1 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
ST3GAL5,ENSG00000115525,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]",SIAT9; ST3GALV; SIATGM3S,604402,"Cells subjected to trichoplein knockdown displayed decreased levels of phosphorylated Akt in the cytoplasm, and around the ciliary base in particular (33691104).",basal body,3.3691104E7,NA,NA
STAG1,ENSG00000118007,STAG1 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11354],SA1; SCC3A; SA-1,604358,STAG1 has localized in primary cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
STAT4,ENSG00000138378,sig l transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365],NA,NA,"STAT4 has localized in basal body,flagella.","basal body,flagella",https://www.proteinatlas.org/,NA,Transcription factors
STAT6,ENSG00000166888,sig l transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368],D12S1644; IL-4-STAT,601512,"The PC1 tail interacts with the transcription factor STAT6 and the coactivator P100, and it stimulates STAT6-dependent gene expression(16399078).",cilia,1.6399078E7,NA,Transcription factors
STING1,ENSG00000184584; ENSG00000288243,stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962],STING; MITA; NET23; MPYS; TMEM173; FLJ38577; ERIS,612374,"STING1 has localized in ciliary tip, basal body, transition zone.","cilia, basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
STK33,ENSG00000130413,serine/threonine ki se 33 [Source:HGNC Symbol;Acc:HGNC:14568],NA,607670,"Stk33 is essential for spermiogenesis and male fertility, and Stk33 influences manchette function and sperm tail formation(29155043).",flagella,2.9155043E7,NA,NA
STOM,ENSG00000148175,stomatin [Source:HGNC Symbol;Acc:HGNC:3383],EPB7; BND7; EPB72,133090,STOM mainly localizes in the knob/ciliary region of the OSNs while in the cell body it is detected in puncta. STOM and STOML3 share a similar expression pattern and STOML3 is necessary for STOM to properly localize to OSN cilia(35794236).,cilia,3.5794236E7,NA,NA
STPG2,ENSG00000163116,sperm tail PG-rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:28712],C4ORF37; MGC46496,NA,STPG2 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
STRADB,ENSG00000082146,STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205],ILPIP; ILPIPA; ALS2CR2; CALS-21; PAPK,607333,The STRAD尾-LKB1-MO25 complex appears to localize to the cilium when STRAD尾 is palmitoylated(26585297).,cilia,2.6585297E7,NA,NA
STRN3,ENSG00000196792,striatin 3 [Source:HGNC Symbol;Acc:HGNC:15720],S/G2 ; SG2 ; PPP2R6B,614766,STRN3 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
STXBP1,ENSG00000136854,syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444],HUNC18; MUNC18-1; RBSEC1; NSEC1; UNC18,602926,accumulation of Stx3 and Stxbp1/Munc18-1 and loss of polarized localization of Prom1 within the Lztfl1 and Bbs1 mutant outer segment (26216965).,cilia,2.6216965E7,NA,NA
SUGCT,ENSG00000175600,succinyl-CoA:glutarate-CoA transferase [Source:HGNC Symbol;Acc:HGNC:16001],ORF19; FLJ11808; C7ORF10; DERP13,609187,SUGCT has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
SUGT1,ENSG00000165416,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]",SGT1,604098,"SUGT1 has localized in basal body,flagella.","basal body,flagella",https://www.proteinatlas.org/,NA,NA
SUMO4,ENSG00000177688,small ubiquitin like modifier 4 [Source:HGNC Symbol;Acc:HGNC:21181],SMT3H4; IDDM5; DJ281H8.4,608829,"SUMO4 has localized in basal body,flagella.","basal body,flagella",https://www.proteinatlas.org/,NA,NA
SYNJ1,ENSG00000159082,sy ptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503],PARK20; INPP5G,604297,"SYNJ1, (Sy ptojanin-1 (SJ1)) may contribute to the control of ciliary protein dy mics in dopaminergic neurons, with implications on cilia-mediated sig ling (38635628).",basal body,3.8635628E7,NA,NA
TAC1,ENSG00000006128,tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517],NPK; NK ; TAC2,162320,SGO-1 likely participates in constraining TAC-1 to the basal body by influencing the function of the transition zone 鈥榗iliary gate鈥,basal body,3.7296204E7,NA,NA
TACC3,ENSG00000013810,transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524],TACC4; MASKIN; ERIC-1; ERIC1,605303,"TACC3 has localized in basal body, transition zone.","basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
TACR1,ENSG00000115353,tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526],SPR; TAC1R; NK1R; NKIR,162323,TACR1 has localized in basal body.,basal body,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TAF8,ENSG00000137413,TATA-box binding protein associated factor 8 [Source:HGNC Symbol;Acc:HGNC:17300],TBN; TAF(II)43; FLJ32821,609514,TAF8 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
TAGLN2,ENSG00000158710,transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554],HA1756; KIAA0120,604634,TAGLN2 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TAOK1,ENSG00000160551,TAO ki se 1 [Source:HGNC Symbol;Acc:HGNC:29259],MARKK; HKFC-B; FLJ14314; PSK2; MAP3K16; KIAA1361; HTAOK1; TAO1,610266,TAOK1 localized at cilia,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TAS2R38,ENSG00000257138,taste 2 receptor member 38 [Source:HGNC Symbol;Acc:HGNC:9584],PTC; T2R61,607751,"T2Rs , T2R4, T2R43, T2R38 and T2R46 , localize along the motile cilia of airway epithelia(19628819).",cilia,1.9628819E7,NA,NA
TAS2R4,ENSG00000127364,taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911],T2R4,604869,"T2Rs , T2R4, T2R43, T2R38 and T2R46 , localize along the motile cilia of airway epithelia(19628819).",cilia,1.9628819E7,NA,NA
TAS2R43,ENSG00000282537; ENSG00000255374; ENSG00000262612,taste 2 receptor member 43 [Source:HGNC Symbol;Acc:HGNC:18875],T2R52,612668; 613967,"T2Rs , T2R4, T2R43, T2R38 and T2R46 , localize along the motile cilia of airway epithelia(19628819).",cilia,1.9628819E7,NA,NA
TAS2R46,ENSG00000278111; ENSG00000226761; ENSG00000262525,taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877],T2R54,612774,"T2Rs , T2R4, T2R43, T2R38 and T2R46 , localize along the motile cilia of airway epithelia(19628819).",cilia,1.9628819E7,NA,NA
TBC1D21,ENSG00000167139,TBC1 domain family member 21 [Source:HGNC Symbol;Acc:HGNC:28536],MGCRABGAP; MGC34741,620387,TBC1D21 has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
TBC1D31,ENSG00000156787,TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888],GM85; WDR67; MGC21654,NA,TBC1D31 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TBC1D4,ENSG00000136111,TBC1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:19165],AS160; KIAA0603; DKFZP779C0666,612465,"TBC1D4 is a centrosome- and satellite-localized protein,a weak GAP for RAB19, that interacts with RAB19 to regulate ciliary membrane growth or CC mainte nce during primary ciliogenesis (33561422).",basal body,3.3561422E7,NA,NA
TCEA2,ENSG00000171703,transcription elongation factor A2 [Source:HGNC Symbol;Acc:HGNC:11614],TFIIS,604784,TCEA2 has localized in cilia.,cilia,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TCTE1,ENSG00000146221,t-complex-associated-testis-expressed 1 [Source:HGNC Symbol;Acc:HGNC:11693],FAP155; MGC33600; DRC5; D6S46,186975,"T-Complex-Associated-Testis-Expressed 1 (TCTE1) is an evolutio rily conserved axonemal protein present from Chlamydomo s (DRC5) to mammals that localizes to the N-DRC and mouse TCTE1 is testis-enriched in its expression, with its mR  appearing in early round spermatids and protein localized to the flagellum (28630322).",flagella,2.8630322E7,NA,NA
TDO2,ENSG00000151790; ENSG00000262635,"tryptophan 2,3-dioxyge se [Source:HGNC Symbol;Acc:HGNC:11708]",TDO; TPH2,191070,"TDO2 has localized in ciliary tip,basal body, transition zone.","cilia, basal body, transition zone",https://doi.org/10.1101/2024.10.20.619273,NA,NA
TEK,ENSG00000120156,TEK receptor tyrosine ki se [Source:HGNC Symbol;Acc:HGNC:11724],TIE2; TIE-2; VMCM; CD202B; VMCM1,600221,TEK has localized in basal body.,basal body,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TEKT3,ENSG00000125409,tektin 3 [Source:HGNC Symbol;Acc:HGNC:14293],FLJ32828,612683,tektins are  the accessory structures of the flagellum (16452089).,flagella,1.6452089E7,NA,NA
TEX12,ENSG00000150783,testis expressed 12 [Source:HGNC Symbol;Acc:HGNC:11734],NA,605791,TEX12 has localized in basal body.,basal body,https://doi.org/10.1101/2024.10.20.619273,NA,NA
TEX9,ENSG00000151575,testis expressed 9 [Source:HGNC Symbol;Acc:HGNC:29585],NA,620935,TEX9 colocalize with cilia in HK2 cells(28460059).,cilia,2.8460059E7,NA,NA
TGIF2,ENSG00000118707,TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764],NA,607294,Reducing Evi5l expression in MEFs lacking Tgifs resulted in a partial restoration of cilium numbers and in the transcriptio l response to activation of the Shh pathway.TGIF2 localized to basal body (25613900),basal body,2.7956704E7,NA,NA
TMC1,ENSG00000165091,transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513],DFNB11; DF 36; DFNB7,606706,TMC1 and TMC2 being components of the stereocilia MET channel complex(26321635).,cilia,2.6321635E7,NA,NA
TMC2,ENSG00000149488,transmembrane channel like 2 [Source:HGNC Symbol;Acc:HGNC:16527],DJ686C3.3; C20ORF145,606707,TMC1 and TMC2 being components of the stereocilia MET channel complex(26321635).,cilia,2.6321635E7,NA,NA
TMEM145,ENSG00000167619,transmembrane protein 145 [Source:HGNC Symbol;Acc:HGNC:26912],FLJ90805,NA,TMEM145 are localized to the cilia of sensory neurons in the head (amphid) and tail (phasmid) of C. elegans (38989623).,cilia,3.8989623E7,NA,NA
TMEM218,ENSG00000150433,transmembrane protein 218 [Source:HGNC Symbol;Acc:HGNC:27344],NA,619285,"MKS module component, TMEM-218 (Tmem218), that requires CEP-290 and other MKS module components for TZ localisation and functions together with the NPHP module to facilitate ciliogenesis(26982032).",transition zone,2.6982032E7,NA,NA
